Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Mean Source Stockpile,1.747043433035654,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,5.122592747227544e-06,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,1.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,47.22166349014717,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,10242864.0,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,23628194.85906083,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,4.610201159572867e-06,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,2.306795722276585,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,1.99852631138692e-06,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.6946507317835379,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,16.220088559591275,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,3302368.0,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,5758274.958914742,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,4.91165386764627e-06,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,1.7436805828165551,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,2.81682326498793e-06,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.22396005138978106,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,131.96253990371787,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,14745344.0,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,25760756.40305168,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,8.949437863485441e-06,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,1.747043433035654,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,5.122592747227544e-06,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,1.0,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,64.76813254562465,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,11063216.0,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,24004946.168604963,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,5.854367531613289e-06,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,2.169798200505618,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,2.6981088538686254e-06,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.7502853782183718,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,91.58043716687898,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,8140608.0,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,11801123.059803862,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,1.124982767465022e-05,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
