Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Resource Transfer Rate,1.8248797260196757e-05,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,0.4768466045887745,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,3.826827901158795e-05,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.24971462178162815,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,15.939063467948976,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,14745600.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,16630659.331964126,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,1.0809369213832586e-06,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.1278387676299455,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,9.58413486415463e-07,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,1.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,1.2196672315680352,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,2111952.0,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,2689796.8019838813,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,5.775070795018235e-07,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.2736069768554783,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,4.5344193941348486e-07,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.14322591145833333,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,1.2196672315680352,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
